"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Fernando Tatis Jr.","SDP","142","615","537","154","30","3","44","107","108","67","165","7","24","6","",".288",".372",".601",".972",".404","157","","6.7","","1.8","19709"
"Trea Turner","LAD","147","651","593","183","33","6","28","110","91","47","111","5","31","6","",".308",".362",".526",".888",".377","139","","6.3","","1.5","16252"
"Wander Franco","TBR","144","621","561","167","34","6","19","83","80","50","62","4","9","3","",".298",".357",".482",".838",".357","133","","5.3","","54.3","23667"
"Corey Seager","TEX","132","566","498","143","30","2","27","79","81","58","98","5","1","0","",".286",".365",".515",".880",".373","139","","4.9","","77.8","13624"
"Xander Bogaerts","BOS","149","639","564","160","34","2","26","90","85","63","115","5","4","2","",".284",".358",".488",".847",".361","125","","4.7","","45.1","12161"
"Bo Bichette","TOR","150","645","593","171","35","4","25","94","83","42","127","5","15","6","",".289",".339",".487",".827",".352","120","","4.3","","5.2","19612"
"Carlos Correa","","146","616","541","146","28","1","25","80","80","65","120","5","1","0","",".269",".350",".464",".814",".349","120","","4.2","","101.2","14162"
"Marcus Semien","TEX","150","665","591","152","31","3","31","90","87","64","130","3","10","3","",".257",".330",".474",".804",".343","119","","4.2","","37.3","12533"
"Francisco Lindor","NYM","147","646","569","146","28","2","24","84","80","63","110","6","15","4","",".257",".335",".439",".774",".331","113","","4.0","","50.1","12916"
"Trevor Story","","147","632","563","142","31","3","28","88","80","57","160","7","20","6","",".252",".326",".464",".790",".337","112","","3.9","","38.3","12564"
"Jorge Polanco","MIN","147","638","575","152","31","4","25","85","79","50","116","5","9","3","",".264",".325",".462",".787",".335","113","","3.7","","78.6","13152"
"Ketel Marte","ARI","142","610","549","159","33","3","22","82","84","52","91","5","5","2","",".289",".353",".484",".837",".357","121","","3.7","","80.0","13613"
"Tim Anderson","CHW","141","624","585","169","30","3","18","84","72","30","130","4","19","7","",".289",".326",".443",".769",".330","110","","3.3","","33.5","15172"
"Dansby Swanson","ATL","150","633","570","147","30","2","26","83","78","53","157","5","9","3","",".258",".323",".452",".775",".330","103","","3.1","","123.8","18314"
"Chris Taylor","LAD","138","551","486","126","27","3","22","80","72","55","151","7","8","2","",".259",".341",".462",".803",".344","117","","3.0","","136.2","13757"
"Willy Adames","MIL","144","592","528","134","26","2","26","78","78","57","161","3","6","2","",".254",".328",".457",".785",".336","108","","2.9","","130.1","15986"
"Brandon Crawford","SFG","130","530","465","120","25","2","19","67","67","50","110","5","5","2","",".258",".334",".447",".781",".333","110","","2.8","","214.1","5343"
"Javier Báez","DET","144","590","547","139","26","4","26","77","78","33","171","6","14","5","",".254",".301",".459",".761",".322","103","","2.8","","62.1","12979"
"Amed Rosario","CLE","140","580","540","151","27","5","11","70","60","32","112","4","12","4","",".279",".322",".410",".732",".316","100","","2.7","","165.4","15518"
"Jean Segura","PHI","134","580","529","149","25","2","18","74","70","38","86","7","9","3","",".283",".337",".441",".778",".335","107","","2.7","","201.6","5933"
"Gleyber Torres","NYY","140","579","513","132","25","1","20","73","65","55","117","5","8","4","",".257",".332",".429",".761",".328","108","","2.7","","151.0","16997"
"Eduardo Escobar","NYM","142","590","531","128","25","3","24","69","78","48","125","4","2","1","",".240",".306",".430",".736",".314","101","","2.4","","195.6","6153"
"Luis Urías","MIL","140","548","479","120","23","2","18","69","63","55","110","9","4","2","",".250",".337",".421",".758",".329","103","","2.3","","154.9","16622"
"J.P. Crawford","SEA","147","638","567","135","26","3","9","66","53","59","111","6","7","3","",".239",".316",".343",".658",".292","88","","2.0","","378.5","15491"
"Jazz Chisholm Jr.","MIA","131","556","500","117","22","4","20","73","59","45","164","6","23","4","",".234",".304",".413",".717",".309","96","","1.9","","79.7","20454"
"Miguel Rojas","MIA","130","541","492","130","23","2","8","59","49","36","74","6","10","4","",".264",".320",".367",".687",".301","91","","1.8","","405.0","7802"
"Oneil Cruz","PIT","113","471","430","106","22","3","14","54","52","35","131","2","10","2","",".246",".306",".406",".712",".306","91","","1.6","","213.4","21711"
"Bobby Witt Jr.","KCR","126","539","494","121","26","3","18","63","64","35","130","5","14","3","",".245",".300",".417",".717",".307","92","","1.6","","94.6","sa3011225"
"Gavin Lux","LAD","114","439","392","102","20","3","13","59","52","42","96","2","5","1","",".259",".332",".424",".756",".326","106","","1.6","","241.8","19955"
"Paul DeJong","STL","119","470","420","98","20","1","20","57","59","39","120","8","4","1","",".233",".307",".429",".736",".316","101","","1.5","","446.8","18015"
"Ramón Urías","BAL","120","448","399","97","20","2","11","50","44","36","114","10","3","1","",".242",".319",".383",".702",".308","92","","1.5","","482.3","18795"
"Nico Hoerner","CHC","117","444","402","106","20","3","5","49","39","32","75","6","10","3","",".265",".326",".368",".693",".302","86","","1.5","","430.9","21479"
"Kyle Farmer","CIN","122","438","404","103","21","1","14","51","51","22","86","9","3","1","",".255",".306",".415",".721",".310","87","","1.4","","489.7","14813"
"Aledmys Díaz","HOU","88","347","316","80","17","1","11","41","41","22","63","5","1","0","",".252",".309",".415",".724",".311","99","","1.3","","569.9","15937"
"Brendan Rodgers","COL","126","528","485","131","29","2","17","64","67","31","109","8","2","1","",".271",".323",".443",".766",".329","92","","1.3","","161.4","17907"
"Nicky Lopez","KCR","137","540","486","125","21","4","1","57","38","43","76","4","13","3","",".258",".321",".326",".647",".287","78","","1.3","","241.7","19339"
"Ha-Seong Kim","SDP","105","360","324","76","17","2","10","42","38","29","75","3","7","2","",".234",".302",".391",".693",".299","89","","1.2","","375.9","27506"
"Taylor Walls","TBR","89","345","304","70","16","2","7","40","33","36","90","2","8","3","",".229",".313",".364",".677",".297","92","","1.2","","561.3","22458"
"Andrés Giménez","CLE","117","419","382","93","19","3","11","50","41","22","103","10","15","4","",".243",".300",".390",".690",".298","88","","1.2","","272.4","19950"
"Isiah Kiner-Falefa","TEX","107","445","411","110","19","2","5","51","38","24","62","6","10","4","",".267",".315",".360",".675",".296","87","","1.2","","357.8","16512"
"Jeremy Peña","HOU","85","337","306","74","14","2","9","40","35","24","84","4","6","1","",".241",".304",".382",".686",".298","90","","1.2","","459.5","sa876320"
"Edmundo Sosa","STL","109","390","360","91","16","2","7","43","37","19","84","8","5","1","",".253",".303",".373",".676",".293","86","","1.1","","422.0","17022"
"Nick Ahmed","ARI","131","516","470","113","24","3","11","57","53","37","109","3","7","2","",".240",".297",".373",".669",".290","78","","1.0","","567.3","12147"
"Brad Miller","","89","314","273","64","13","1","14","40","41","37","89","2","2","1","",".236",".329",".446",".774",".331","108","","1.0","","552.4","12775"
"Didi Gregorius","PHI","115","473","429","104","19","2","16","53","56","31","77","5","4","1","",".241",".297",".408",".706",".302","86","","1.0","","459.2","6012"
"Jed Lowrie","","104","414","365","89","21","1","13","47","50","41","88","2","0","0","",".245",".322",".414",".736",".318","100","","1.0","","594.2","4418"
"José Iglesias","","102","403","377","101","20","2","6","44","40","16","60","5","4","2","",".267",".304",".380",".684",".297","85","","0.9","","591.7","10231"
"Bryson Stott","PHI","79","317","284","67","14","1","8","36","32","30","82","2","4","1","",".236",".310",".378",".688",".300","84","","0.8","","460.3","sa3011443"
"Thairo Estrada","SFG","69","240","221","58","10","1","6","28","25","14","47","3","4","1","",".260",".312",".394",".706",".306","93","","0.7","","598.8","16426"
"Jonathan Villar","","112","450","402","94","16","2","11","56","41","40","118","3","18","6","",".232",".306",".365",".670",".293","83","","0.7","","291.6","10071"
"Starlin Castro","","54","221","203","54","10","0","7","25","27","14","41","1","1","0","",".268",".317",".425",".742",".319","100","","0.7","","596.7","4579"
"Niko Goodrum","","88","353","318","71","15","2","11","43","36","30","114","3","11","3","",".223",".295",".382",".676",".294","84","","0.7","","562.8","12092"
"Jose Barrero","CIN","76","294","270","66","14","1","8","35","32","17","75","5","5","2","",".245",".299",".396",".696",".300","81","","0.7","","428.6","23378"
"Elvis Andrus","OAK","101","401","366","89","17","2","5","41","32","24","65","3","9","4","",".244",".293",".338",".632",".277","77","","0.7","","563.4","8709"
"Kevin Newman","PIT","116","457","426","112","20","3","4","45","41","23","46","3","7","2","",".263",".304",".352",".656",".286","78","","0.6","","594.3","17696"
"Adalberto Mondesi","KCR","120","492","459","107","21","5","18","70","50","26","148","3","39","7","",".233",".276",".413",".689",".293","82","","0.5","","60.6","13769"
"José Peraza","NYY","42","149","137","35","6","1","4","17","15","8","23","2","2","1","",".254",".302",".393",".695",".300","90","","0.5","","600.8","13593"
"Tyler Wade","LAA","100","296","266","58","11","2","4","34","20","24","78","3","15","3","",".218",".289",".316",".605",".268","67","","0.4","","462.7","15730"
"Oswald Peraza","NYY","26","103","95","24","4","0","2","12","10","6","22","1","3","1","",".251",".303",".381",".685",".297","88","","0.3","","599.8","sa3003305"
"Tyler Freeman","CLE","20","63","58","17","4","0","1","7","7","3","8","1","1","0","",".291",".337",".414",".751",".325","105","","0.3","","999.0","sa3004755"
"Willi Castro","DET","44","172","158","39","7","2","4","19","16","10","40","2","3","1","",".245",".297",".380",".677",".292","84","","0.3","","525.6","17338"
"Geraldo Perdomo","ARI","26","98","87","21","4","1","2","11","9","9","20","1","2","0","",".244",".325",".360",".684",".301","85","","0.3","","596.2","22799"
"Sergio Alcántara","CHC","74","268","238","54","10","1","4","27","22","26","66","1","3","1","",".228",".306",".334",".639",".283","74","","0.3","","999.0","16417"
"Alan Trejo","COL","83","264","246","60","14","1","7","29","30","13","67","2","2","1","",".245",".288",".397",".685",".294","69","","0.3","","999.0","20056"
"Asdrúbal Cabrera","CIN","59","228","201","47","10","0","7","25","26","22","51","2","1","0","",".232",".309",".384",".693",".302","89","","0.3","","599.8","4962"
"Jack Mayfield","LAA","41","156","144","32","6","0","5","16","18","9","36","1","1","0","",".220",".271",".383",".654",".281","76","","0.2","","999.0","15402"
"Scott Kingery","PHI","48","155","142","32","7","1","5","18","18","11","46","2","3","1","",".228",".288",".400",".688",".296","82","","0.2","","600.3","17975"
"Ehire Adrianza","","60","181","161","38","8","1","4","19","17","16","38","2","1","0","",".237",".310",".366",".676",".296","85","","0.2","","999.0","8418"
"CJ Abrams","SDP","23","94","87","21","5","1","2","11","9","6","19","1","2","0","",".244",".298",".369",".667",".289","83","","0.2","","569.8","sa3010152"
"Daniel Robertson","","42","132","115","25","5","0","2","14","11","13","35","3","1","0","",".220",".315",".328",".644",".289","80","","0.2","","999.0","14145"
"Nick Allen","OAK","48","193","175","40","8","1","2","19","14","12","39","2","4","1","",".230",".284",".329",".613",".269","72","","0.2","","999.0","sa3004723"
"Zack Short","DET","17","63","55","11","3","0","2","7","6","7","18","1","0","0","",".208",".305",".371",".677",".297","87","","0.2","","999.0","19562"
"Andrelton Simmons","","109","416","380","90","15","1","3","39","33","26","58","3","3","1","",".236",".288",".307",".594",".264","64","","0.2","","590.0","10847"
"Vimael Machín","OAK","41","147","131","29","6","1","2","13","12","14","32","1","1","0","",".225",".303",".321",".624",".276","76","","0.1","","999.0","17684"
"Andrew Velazquez","LAA","35","121","110","23","5","1","3","14","10","8","38","1","4","1","",".212",".272",".341",".613",".268","67","","0.1","","999.0","14196"
"Orlando Arcia","ATL","74","269","248","62","10","1","7","31","28","18","48","1","4","1","",".250",".301",".385",".686",".296","81","","0.1","","597.5","13185"
"Jordy Mercer","","36","126","114","27","6","0","3","13","14","9","29","1","0","0","",".240",".299",".377",".675",".292","82","","0.1","","999.0","6547"
"José Devers","MIA","26","71","64","16","3","0","1","7","6","5","13","1","1","0","",".252",".310",".357",".667",".291","84","","0.1","","999.0","20540"
"Oswaldo Cabrera","NYY","15","62","57","13","3","0","2","7","6","4","15","0","1","0","",".233",".286",".386",".672",".289","82","","0.1","","999.0","sa916954"
"Jordan Groshans","TOR","16","60","54","13","3","0","1","7","6","5","14","0","0","0","",".247",".308",".382",".690",".300","85","","0.1","","600.4","sa3006893"
"Ian Desmond","COL","29","112","100","24","4","0","3","14","12","9","30","1","2","1","",".241",".306",".394",".700",".304","90","","0.1","","999.0","6885"
"Jonathan Araúz","BOS","16","59","54","13","3","0","1","7","6","5","12","0","0","0","",".235",".301",".373",".674",".294","80","","0.1","","999.0","20275"
"Donovan Walton","SEA","10","35","31","7","1","0","1","4","3","3","6","1","0","0","",".234",".307",".351",".658",".290","86","","0.1","","999.0","19314"
"Danny Mendick","CHW","51","182","164","37","7","1","3","18","16","14","39","2","2","1","",".224",".289",".329",".618",".273","72","","0.1","","999.0","18889"
"Nick Maton","PHI","20","71","63","14","3","0","2","8","7","7","19","1","1","0","",".222",".301",".355",".656",".288","77","","0.1","","999.0","21635"
"Chris Owings","","17","56","51","11","2","0","2","6","6","4","17","1","1","0","",".222",".283",".367",".649",".282","76","","0.1","","600.7","10030"
"Richie Martin","BAL","25","90","82","18","3","1","1","10","7","6","23","1","2","1","",".226",".286",".326",".612",".270","67","","0.1","","999.0","17736"
"Michael Stefanic","LAA","8","30","27","7","1","0","0","3","3","2","5","0","0","0","",".255",".315",".356",".672",".294","84","","0.1","","999.0","sa3008479"
"Marwin Gonzalez","","61","230","208","47","9","1","5","24","22","17","55","3","2","1","",".227",".295",".351",".645",".283","76","","0.0","","999.0","5497"
"Jeter Downs","BOS","7","27","24","5","1","0","1","3","3","2","7","0","1","0","",".224",".293",".392",".685",".296","82","","0.0","","598.9","sa3004615"
"Ryan Kreidler","DET","5","21","19","4","1","0","1","2","2","2","6","0","0","0","",".226",".289",".366",".655",".285","78","","0.0","","999.0","sa3010587"
"Lucius Fox","WSN","14","56","50","11","2","0","1","6","5","5","15","1","2","0","",".225",".302",".332",".633",".281","72","","0.0","","999.0","sa914200"
"Pedro Leon","HOU","5","17","15","3","1","0","0","2","2","1","5","0","0","0","",".214",".290",".345",".635",".278","77","","0.0","","999.0","sa3014838"
"Yolbert Sanchez","CHW","5","16","15","4","1","0","0","2","2","1","3","0","0","0","",".261",".307",".371",".678",".292","85","","0.0","","999.0","sa3011471"
"Brendon Davis","LAA","7","27","25","5","1","0","1","3","3","2","8","0","0","0","",".220",".287",".365",".652",".284","78","","0.0","","999.0","sa875089"
"Omar Estévez","LAD","6","26","23","5","1","0","1","3","3","2","7","0","0","0","",".229",".286",".371",".657",".285","79","","0.0","","999.0","sa914242"
"Clay Dungan","KCR","4","17","16","4","1","0","0","2","2","1","3","0","0","0","",".243",".295",".351",".646",".282","74","","0.0","","999.0","sa1169803"
"Anderson Tejeda","STL","5","14","13","3","1","0","0","2","1","1","6","0","0","0","",".196",".257",".344",".600",".261","65","","0.0","","999.0","19909"
"Erik González","MIA","4","13","12","3","1","0","0","1","1","1","3","0","0","0","",".244",".280",".339",".620",".270","70","","0.0","","600.0","13369"
"José Rondón","","18","52","48","11","2","0","1","6","5","3","13","0","1","0","",".228",".283",".370",".653",".283","79","","0.0","","999.0","14140"
"Kyle Holder","COL","4","13","12","3","1","0","0","1","1","1","3","0","0","0","",".236",".291",".347",".638",".279","59","","0.0","","999.0","sa857840"
"Cole Tucker","PIT","74","283","253","58","12","2","4","29","24","25","67","2","6","2","",".228",".301",".342",".643",".284","76","","0.0","","561.5","17326"
"Pat Valaika","","45","146","135","30","6","0","4","14","15","8","39","1","1","0","",".220",".267",".365",".632",".273","69","","0.0","","999.0","14885"
"Logan Warmoth","TOR","5","20","18","3","1","0","0","2","2","2","7","0","0","0","",".196",".277",".298",".575",".258","57","","-0.1","","999.0","sa3004813"
"Wilmer Difo","","42","134","122","28","5","1","2","14","11","10","30","1","2","1","",".233",".295",".337",".632",".277","72","","-0.1","","999.0","14320"
"Ronald Torreyes","PHI","52","186","173","41","7","1","2","17","16","9","25","1","1","0","",".234",".276",".318",".594",".260","61","","-0.1","","596.9","11400"
"Alcides Escobar","WSN","105","439","403","99","18","2","6","44","40","22","80","4","3","1","",".246",".290",".343",".633",".277","70","","-0.2","","582.3","6310"
